,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-01-01",0,-5.0641
"2014-01-02",0.0364,-3.7481
"2014-01-03",0.2337,-3.691
"2014-01-04",0.2636,-9.6799
"2014-01-05",0,-12.8392
"2014-01-06",0,-9.213
"2014-01-07",1.8698,-5.6954
"2014-01-08",4.8803,-4.8587
"2014-01-09",13.8342,-6.21
"2014-01-10",10.6905,-5.1472
"2014-01-11",13.3075,-0.6834
"2014-01-12",18.3854,-5.8041
"2014-01-13",8.8061,-4.1605
"2014-01-14",0,-4.2264
"2014-01-15",0,-4.0862
"2014-01-16",0,-3.6751
"2014-01-17",0,-2.9061
"2014-01-18",0,-2.0214
"2014-01-19",0,-1.8272
"2014-01-20",0,-1.4258
"2014-01-21",0.1104,-2.1802
"2014-01-22",0.0073,-3.2677
"2014-01-23",0,-6.4411
"2014-01-24",0,-3.8632
"2014-01-25",0,-1.6619
"2014-01-26",0,-3.4217
"2014-01-27",0,-6.5195
"2014-01-28",0,-8.5113
"2014-01-29",33.7688,-2.1589
"2014-01-30",6.0588,-5.8807
"2014-01-31",0,-8.0036
"2014-02-01",0.6464,-9.6839
"2014-02-02",0,-9.1829
"2014-02-03",4.2038,-9.0964
"2014-02-04",0,-12.8758
"2014-02-05",6.5583,-13.095
"2014-02-06",10.7131,-9.5209
"2014-02-07",34.5396,-5.074
"2014-02-08",48.3245,-1.8014
"2014-02-09",6.9365,-2.082
"2014-02-10",6.6779,-3.2367
"2014-02-11",3.2762,-3.6342
"2014-02-12",12.9815,-1.506
"2014-02-13",18.2345,0.1255
"2014-02-14",24.2172,-0.2639
"2014-02-15",0.1951,3.768
"2014-02-16",10.9465,-2.2622
"2014-02-17",0,-2.019
"2014-02-18",0.2076,-1.6081
"2014-02-19",5.758,-4.4985
"2014-02-20",0.4224,-7.6309
"2014-02-21",2.8537,-3.3937
"2014-02-22",19.2161,-3.9142
"2014-02-23",0.0246,0.0895
"2014-02-24",0,1.9862
"2014-02-25",0,1.1646
"2014-02-26",0.1363,1.2343
"2014-02-27",16.6049,0.572
"2014-02-28",11.9771,1.1821
"2014-03-01",46.4509,-0.5409
"2014-03-02",6.0199,0.3745
"2014-03-03",6.3378,2.0963
"2014-03-04",6.723,0.544
"2014-03-05",0.7011,0.6012
"2014-03-06",10.6331,1.3671
"2014-03-07",0.1579,-0.2708
"2014-03-08",0,0.3905
"2014-03-09",0.2806,1.8245
"2014-03-10",11.4102,1.9858
"2014-03-11",3.1525,-3.4486
"2014-03-12",0.1495,-1.8517
"2014-03-13",0.1479,-0.5982
"2014-03-14",4.3366,0.0494
"2014-03-15",0,-0.1502
"2014-03-16",0.3329,2.1767
"2014-03-17",11.0704,-0.9975
"2014-03-18",1.0279,-5.7878
"2014-03-19",0.7184,-4.9541
"2014-03-20",0.1479,0.6432
"2014-03-21",0,-2.7743
"2014-03-22",0,-1.9615
