,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-01-01",0,-4.6425
"2014-01-02",0.0283,-3.5696
"2014-01-03",0.1814,-3.3261
"2014-01-04",0.2062,-9.2731
"2014-01-05",0,-12.4152
"2014-01-06",0,-8.9233
"2014-01-07",1.6434,-5.399
"2014-01-08",4.6372,-4.4959
"2014-01-09",12.8952,-5.856
"2014-01-10",9.398,-4.7317
"2014-01-11",11.7733,-0.2679
"2014-01-12",17.2805,-5.3931
"2014-01-13",8.1431,-3.786
"2014-01-14",0,-3.8528
"2014-01-15",0,-3.7744
"2014-01-16",0,-3.467
"2014-01-17",0,-2.7912
"2014-01-18",0,-1.8668
"2014-01-19",0,-1.6574
"2014-01-20",0,-1.2194
"2014-01-21",0.0857,-2.056
"2014-01-22",0.0686,-3.1096
"2014-01-23",0,-6.05
"2014-01-24",0,-3.7848
"2014-01-25",0,-1.5973
"2014-01-26",0,-3.2828
"2014-01-27",0,-6.1004
"2014-01-28",0,-8.1518
"2014-01-29",31.3626,-1.8246
"2014-01-30",5.2189,-5.3984
"2014-01-31",0,-7.659
"2014-02-01",0.7096,-9.24
"2014-02-02",0,-8.772
"2014-02-03",3.7749,-8.7016
"2014-02-04",0,-12.4114
"2014-02-05",6.1918,-12.6377
"2014-02-06",10.1477,-9.1578
"2014-02-07",30.6393,-4.7081
"2014-02-08",44.8039,-1.4058
"2014-02-09",6.7114,-1.6383
"2014-02-10",5.2904,-2.8791
"2014-02-11",2.5708,-3.3466
"2014-02-12",12.7244,-1.1516
"2014-02-13",17.2422,0.5629
"2014-02-14",21.7584,0.2369
"2014-02-15",0.1529,4.1294
"2014-02-16",9.7442,-1.754
"2014-02-17",0,-1.5375
"2014-02-18",0.1611,-1.1334
"2014-02-19",4.5592,-4.0504
"2014-02-20",0.4247,-7.1937
"2014-02-21",2.2701,-2.9506
"2014-02-22",16.8473,-3.4626
"2014-02-23",0.0191,0.5399
"2014-02-24",0,2.417
"2014-02-25",0,1.6535
"2014-02-26",0.1066,1.7067
"2014-02-27",15.3485,0.9233
"2014-02-28",11.5356,1.6257
"2014-03-01",41.5577,-0.1173
"2014-03-02",5.2373,0.9336
"2014-03-03",5.4843,2.6116
"2014-03-04",6.6538,1.0127
"2014-03-05",0.5443,1.1328
"2014-03-06",9.8021,1.904
"2014-03-07",0.123,0.2419
"2014-03-08",0,0.914
"2014-03-09",0.2179,2.4253
"2014-03-10",9.8953,2.4686
"2014-03-11",2.9071,-2.9271
"2014-03-12",0.1161,-1.2783
"2014-03-13",0.1156,-0.0456
"2014-03-14",3.6944,0.6373
"2014-03-15",0,0.4032
"2014-03-16",0.2597,2.6247
"2014-03-17",10.0669,-0.5061
"2014-03-18",0.8002,-5.2325
"2014-03-19",0.5659,-4.3689
"2014-03-20",0.1156,1.1831
"2014-03-21",0,-2.2027
"2014-03-22",0,-1.4391
"2014-03-23",0,-0.8136
"2014-03-24",0.2627,1.3903
"2014-03-25",0.1156,4.5619
"2014-03-26",2.4351,0.649
