,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-01-01",0,-4.5683
"2014-01-02",0.0262,-3.5644
"2014-01-03",0.1684,-3.3059
"2014-01-04",0.1914,-9.1815
"2014-01-05",0,-12.2954
"2014-01-06",0,-8.9053
"2014-01-07",1.5251,-5.3495
"2014-01-08",4.5878,-4.4065
"2014-01-09",12.6716,-5.7547
"2014-01-10",9.0012,-4.5703
"2014-01-11",11.3691,-0.1479
"2014-01-12",17.0141,-5.2381
"2014-01-13",7.8727,-3.6784
"2014-01-14",0,-3.7595
"2014-01-15",0,-3.7019
"2014-01-16",0,-3.462
"2014-01-17",0,-2.8049
"2014-01-18",0,-1.8913
"2014-01-19",0,-1.6659
"2014-01-20",0,-1.2246
"2014-01-21",0.0795,-2.0864
"2014-01-22",0.0637,-3.1241
"2014-01-23",0,-5.9832
"2014-01-24",0,-3.7861
"2014-01-25",0,-1.6645
"2014-01-26",0,-3.2981
"2014-01-27",0,-6.0131
"2014-01-28",0,-8.0319
"2014-01-29",30.904,-1.7167
"2014-01-30",4.8832,-5.258
"2014-01-31",0,-7.5326
"2014-02-01",0.6585,-9.0919
"2014-02-02",0,-8.6506
"2014-02-03",3.7086,-8.6119
"2014-02-04",0.0019,-12.2735
"2014-02-05",6.1245,-12.5195
"2014-02-06",10.0142,-9.0503
"2014-02-07",29.8294,-4.5718
"2014-02-08",44.1445,-1.2604
"2014-02-09",6.678,-1.486
"2014-02-10",4.9099,-2.7708
"2014-02-11",2.3857,-3.2276
"2014-02-12",12.7005,-1.028
"2014-02-13",17.1119,0.6813
"2014-02-14",21.2077,0.4087
"2014-02-15",0.1419,4.2022
"2014-02-16",9.3777,-1.6139
"2014-02-17",0,-1.3837
"2014-02-18",0.1495,-0.9833
"2014-02-19",4.2359,-3.9385
"2014-02-20",0.3941,-7.0135
"2014-02-21",2.1066,-2.8019
"2014-02-22",16.3027,-3.289
"2014-02-23",0.0177,0.7052
"2014-02-24",0,2.576
"2014-02-25",0,1.8306
"2014-02-26",0.0989,1.8835
"2014-02-27",15.1733,1.019
"2014-02-28",11.8443,1.7494
"2014-03-01",40.4075,-0.0001
"2014-03-02",4.9897,1.0827
"2014-03-03",5.5424,2.7478
"2014-03-04",6.5724,1.1158
"2014-03-05",0.5051,1.2764
"2014-03-06",9.6559,2.0502
"2014-03-07",0.1141,0.3684
