,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-01-01",0,-4.5795
"2014-01-02",0.026,-3.5916
"2014-01-03",0.1668,-3.3265
"2014-01-04",0.1896,-9.1732
"2014-01-05",0,-12.2899
"2014-01-06",0,-8.928
"2014-01-07",1.511,-5.3663
"2014-01-08",4.5954,-4.3974
"2014-01-09",12.5965,-5.7281
"2014-01-10",8.9178,-4.5294
"2014-01-11",11.2771,-0.1188
"2014-01-12",16.857,-5.1989
"2014-01-13",7.7998,-3.6655
"2014-01-14",0,-3.7564
"2014-01-15",0,-3.7156
"2014-01-16",0,-3.4878
"2014-01-17",0,-2.8359
"2014-01-18",0,-1.9264
"2014-01-19",0,-1.6987
"2014-01-20",0,-1.259
"2014-01-21",0.0788,-2.1238
"2014-01-22",0.0631,-3.1542
"2014-01-23",0,-5.9959
"2014-01-24",0,-3.817
"2014-01-25",0,-1.7065
"2014-01-26",0,-3.3274
"2014-01-27",0,-6.0201
"2014-01-28",0,-8.0282
"2014-01-29",30.7204,-1.6989
"2014-01-30",4.838,-5.2297
"2014-01-31",0,-7.5061
"2014-02-01",0.6524,-9.0524
"2014-02-02",0,-8.6118
"2014-02-03",3.6991,-8.5964
"2014-02-04",0.005,-12.2405
"2014-02-05",6.1227,-12.4923
"2014-02-06",9.9803,-9.0311
"2014-02-07",29.6555,-4.5349
"2014-02-08",43.8278,-1.216
"2014-02-09",6.6669,-1.4454
"2014-02-10",4.8644,-2.7407
"2014-02-11",2.3636,-3.1866
"2014-02-12",12.6136,-0.987
"2014-02-13",16.9558,0.7175
"2014-02-14",21.0243,0.4554
"2014-02-15",0.1406,4.2064
"2014-02-16",9.2913,-1.5777
"2014-02-17",0,-1.3478
"2014-02-18",0.1482,-0.9465
"2014-02-19",4.1967,-3.8977
"2014-02-20",0.3905,-6.9586
"2014-02-21",2.0871,-2.7546
"2014-02-22",16.1519,-3.2385
"2014-02-23",0.0176,0.7545
"2014-02-24",0,2.6098
"2014-02-25",0,1.8649
"2014-02-26",0.098,1.921
"2014-02-27",15.1642,1.0463
"2014-02-28",11.8727,1.7981
"2014-03-01",40.1103,0.04
"2014-03-02",4.9435,1.1363
"2014-03-03",5.5391,2.7972
"2014-03-04",6.5317,1.1483
"2014-03-05",0.5004,1.322
"2014-03-06",9.6146,2.0923
"2014-03-07",0.1131,0.4068
"2014-03-08",0,1.1017
"2014-03-09",0.2003,2.6457
"2014-03-10",9.4221,2.6227
"2014-03-11",2.7431,-2.7481
"2014-03-12",0.1067,-1.0852
"2014-03-13",0.1063,0.1588
"2014-03-14",3.3968,0.8664
"2014-03-15",0,0.5767
"2014-03-16",0.2388,2.7952
"2014-03-17",9.5606,-0.3472
"2014-03-18",0.7357,-5.0422
"2014-03-19",0.5203,-4.1349
"2014-03-20",0.1063,1.3376
"2014-03-21",0,-1.9729
"2014-03-22",0,-1.2655
"2014-03-23",0,-0.5993
"2014-03-24",0.2415,1.592
"2014-03-25",0.1063,4.757
"2014-03-26",2.8815,0.8152
"2014-03-27",17.4039,-0.9219
"2014-03-28",2.8733,-0.2556
"2014-03-29",0.1745,2.2089
"2014-03-30",25.9362,0.2764
"2014-03-31",1.8087,-1.2455
"2014-04-01",12.1227,-1.9895
"2014-04-02",0.1581,-3.0265
"2014-04-03",0.2472,-1.583
"2014-04-04",0,-0.1799
"2014-04-05",0.7764,0.7804
"2014-04-06",7.7175,0.4717
"2014-04-07",0.229,2.8599
"2014-04-08",0.0219,6.5023
"2014-04-09",0,8.2718
"2014-04-10",0,6.6657
"2014-04-11",0,7.7039
"2014-04-12",0,5.751
"2014-04-13",0.0121,-1.1159
"2014-04-14",0,-1.0765
"2014-04-15",0,3.5741
"2014-04-16",0,1.5507
"2014-04-17",0,4.4324
"2014-04-18",3.7856,5.6383
"2014-04-19",0,6.6711
"2014-04-20",0,6.6566
"2014-04-21",0.2578,7.2584
"2014-04-22",5.461,6.0802
"2014-04-23",3.0568,-0.6173
"2014-04-24",0.0251,2.2226
"2014-04-25",8.7949,5.4019
"2014-04-26",15.7744,0.107
"2014-04-27",4.7616,-0.3236
"2014-04-28",4.5913,-1.5293
"2014-04-29",0.0654,-0.1184
"2014-04-30",0,3.5618
"2014-05-01",0.0903,6.6662
"2014-05-02",0,9.0629
"2014-05-03",0,11.466
"2014-05-04",0,10.1529
"2014-05-05",0,8.4161
"2014-05-06",2.9953,6.2711
"2014-05-07",7.096,2.9208
"2014-05-08",0.391,3.3309
"2014-05-09",24.8957,3.586
"2014-05-10",3.1074,3.0403
"2014-05-11",0.041,2.687
"2014-05-12",1.1064,1.1509
"2014-05-13",0,3.2336
"2014-05-14",0,6.171
"2014-05-15",0,9.5828
"2014-05-16",0,11.5596
"2014-05-17",0,11.1776
"2014-05-18",0,9.3525
"2014-05-19",0,7.5835
"2014-05-20",0,9.4377
"2014-05-21",0,10.4968
"2014-05-22",0,12.2401
"2014-05-23",0.0837,12.1448
"2014-05-24",3.9101,9.9049
"2014-05-25",0,11.2093
"2014-05-26",0,13.151
"2014-05-27",0,14.667
"2014-05-28",0,15.4593
"2014-05-29",0,11.3315
"2014-05-30",0,13.4484
"2014-05-31",0,13.4307
"2014-06-01",0,9.7869
"2014-06-02",0.0751,12.8809
"2014-06-03",0.0751,13.2061
"2014-06-04",0,11.9969
"2014-06-05",0,11.8765
"2014-06-06",0,13.1002
"2014-06-07",0,11.9477
"2014-06-08",0,10.4168
"2014-06-09",0,11.7775
"2014-06-10",0,14.1338
"2014-06-11",0,12.1568
"2014-06-12",0,14.6399
"2014-06-13",0,11.6271
"2014-06-14",0,6.0167
"2014-06-15",0,8.392
"2014-06-16",7.1223,8.6561
"2014-06-17",9.3527,1.9257
"2014-06-18",0.7337,2.858
"2014-06-19",0.2706,8.2212
"2014-06-20",0,13.7554
"2014-06-21",0,14.9332
"2014-06-22",0,14.4492
"2014-06-23",0,14.5757
"2014-06-24",0,16.3879
"2014-06-25",0.0025,16.5424
"2014-06-26",3.1453,12.3179
"2014-06-27",13.5153,8.8266
"2014-06-28",0,10.8793
"2014-06-29",0,13.4763
"2014-06-30",0,12.2132
"2014-07-01",0,13.8601
"2014-07-02",0,16.1993
"2014-07-03",0,18.7218
