,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-01-01",0,-5.4426
"2014-01-02",0.0363,-3.8665
"2014-01-03",0.2639,-3.9439
"2014-01-04",0.179,-9.9657
"2014-01-05",0,-13.1064
"2014-01-06",0,-9.4375
"2014-01-07",2.0773,-5.9449
"2014-01-08",5.194,-5.0716
"2014-01-09",14.4065,-6.4047
"2014-01-10",11.1649,-5.3482
"2014-01-11",14.9107,-0.8989
"2014-01-12",18.2914,-6.0528
"2014-01-13",8.8406,-4.3846
"2014-01-14",0,-4.5192
"2014-01-15",0,-4.2791
"2014-01-16",0,-3.9847
"2014-01-17",0,-3.0564
"2014-01-18",0,-2.1786
"2014-01-19",0,-1.975
"2014-01-20",0,-1.6124
"2014-01-21",0.1608,-2.3234
"2014-01-22",0,-3.3442
"2014-01-23",0,-6.6962
"2014-01-24",0,-4.0046
"2014-01-25",0,-1.8159
"2014-01-26",0,-3.5662
"2014-01-27",0,-6.8697
"2014-01-28",0,-8.767
"2014-01-29",35.1551,-2.3438
"2014-01-30",6.6219,-6.107
"2014-01-31",0,-8.2697
"2014-02-01",0.3987,-9.8932
"2014-02-02",0,-9.4174
"2014-02-03",4.4445,-9.4038
"2014-02-04",0,-13.2148
"2014-02-05",7.0361,-13.3523
"2014-02-06",11.2669,-9.769
"2014-02-07",37.318,-5.3477
"2014-02-08",48.9726,-2.0816
"2014-02-09",6.9676,-2.4345
"2014-02-10",7.6507,-3.3878
"2014-02-11",3.5787,-3.7634
"2014-02-12",13.4315,-1.7858
"2014-02-13",17.8826,-0.1904
"2014-02-14",24.7555,-0.6211
"2014-02-15",0.1227,3.4446
"2014-02-16",12.1678,-2.6129
"2014-02-17",0,-2.377
"2014-02-18",0.2877,-1.9389
"2014-02-19",6.229,-4.8134
"2014-02-20",0.2665,-7.8684
"2014-02-21",2.7386,-3.6603
"2014-02-22",20.1894,-4.2135
"2014-02-23",0.0325,-0.1982
"2014-02-24",0,1.6837
"2014-02-25",0,0.7404
"2014-02-26",0.0961,0.8903
"2014-02-27",16.9386,0.3223
"2014-02-28",12.3607,0.935
"2014-03-01",48.7347,-0.8499
"2014-03-02",6.4742,0.0609
"2014-03-03",6.7915,1.7537
"2014-03-04",6.9191,0.1849
"2014-03-05",0.9935,0.2505
"2014-03-06",11.3819,1.0203
"2014-03-07",0.0845,-0.6909
"2014-03-08",0,0.0071
"2014-03-09",0.4089,1.4821
"2014-03-10",12.6246,1.6533
"2014-03-11",3.0926,-3.8742
"2014-03-12",0.2178,-2.327
"2014-03-13",0.1041,-0.9908
"2014-03-14",4.6825,-0.3594
"2014-03-15",0,-0.5173
"2014-03-16",0.3191,1.8764
"2014-03-17",11.7813,-1.3656
"2014-03-18",1.2039,-6.2361
"2014-03-19",0.4787,-5.2969
"2014-03-20",0.1041,0.2865
"2014-03-21",0,-3.1928
"2014-03-22",0,-2.3884
"2014-03-23",0,-1.7972
"2014-03-24",0.2228,0.4214
"2014-03-25",0.1041,3.68
"2014-03-26",1.8973,-0.1895
"2014-03-27",19.5379,-1.7065
"2014-03-28",3.7206,-1.3013
"2014-03-29",0.3563,0.9577
"2014-03-30",31.2302,-0.6137
"2014-03-31",1.6867,-2.4178
"2014-04-01",13.0766,-2.8635
"2014-04-02",0.2699,-4.1117
"2014-04-03",0.3471,-2.5358
"2014-04-04",0,-1.3432
"2014-04-05",0.9282,-0.361
"2014-04-06",8.9173,-0.5552
"2014-04-07",0.2262,1.6639
"2014-04-08",0.0311,5.5359
"2014-04-09",0,7.1627
"2014-04-10",0,5.5259
"2014-04-11",0,6.6322
"2014-04-12",0,4.8142
"2014-04-13",0,-2.2533
"2014-04-14",0,-2.2192
"2014-04-15",0,2.4852
"2014-04-16",0,0.3157
"2014-04-17",0,3.3483
"2014-04-18",5.4135,4.5219
"2014-04-19",0,5.5898
"2014-04-20",0,5.4441
"2014-04-21",0.3686,6.0288
"2014-04-22",7.0376,5.1318
"2014-04-23",3.8931,-1.6145
"2014-04-24",0.0344,0.9284
"2014-04-25",8.358,4.5048
"2014-04-26",16.0132,-0.6086
"2014-04-27",6.0716,-1.368
"2014-04-28",5.7796,-2.6198
"2014-04-29",0.0637,-1.2553
"2014-04-30",0,2.4321
"2014-05-01",0,5.5322
"2014-05-02",0,7.8555
"2014-05-03",0,10.2631
"2014-05-04",0,8.9571
"2014-05-05",0,7.2682
"2014-05-06",1.965,5.3009
"2014-05-07",8.7354,1.9424
"2014-05-08",0.0349,2.1172
"2014-05-09",25.1935,2.5506
"2014-05-10",4.505,2.0472
"2014-05-11",0.0837,1.6154
"2014-05-12",1.3872,0.1027
"2014-05-13",0,2.0416
"2014-05-14",0,5.0433
"2014-05-15",0,8.4686
"2014-05-16",0,10.4525
"2014-05-17",0,9.9265
"2014-05-18",0,8.0261
"2014-05-19",0,6.441
"2014-05-20",0,8.3107
"2014-05-21",0,9.4656
"2014-05-22",0,11.0042
"2014-05-23",0.1678,11.052
"2014-05-24",6.4641,8.8981
"2014-05-25",0,10.0734
"2014-05-26",0,11.8691
"2014-05-27",0,13.2873
"2014-05-28",0,14.2106
"2014-05-29",0,10.2498
"2014-05-30",0,12.177
"2014-05-31",0,12.0675
"2014-06-01",0,8.4733
"2014-06-02",0.0709,11.4596
"2014-06-03",0.0709,11.805
"2014-06-04",0,10.5249
"2014-06-05",0,10.4276
"2014-06-06",0,11.7116
"2014-06-07",0,10.488
"2014-06-08",0,9.0693
"2014-06-09",0,10.5119
"2014-06-10",0,12.7312
"2014-06-11",0,10.8517
"2014-06-12",0,13.2056
"2014-06-13",0,10.3959
"2014-06-14",0,4.8411
"2014-06-15",0,7.0475
"2014-06-16",6.4707,7.3769
"2014-06-17",9.6401,0.9199
"2014-06-18",1.1864,1.643
"2014-06-19",0.25,7.0519
"2014-06-20",0,12.4012
"2014-06-21",0,13.6073
"2014-06-22",0,13.0962
"2014-06-23",0,13.1015
"2014-06-24",0,15.0401
"2014-06-25",0,15.2125
"2014-06-26",3.0408,11.1429
"2014-06-27",15.6925,7.4727
"2014-06-28",0,9.4464
"2014-06-29",0,12.085
"2014-06-30",0,10.9417
"2014-07-01",0,12.5601
"2014-07-02",0,14.8446
"2014-07-03",0,17.4584
"2014-07-04",0,16.9296
"2014-07-05",0,17.8164
"2014-07-06",0,18.4252
"2014-07-07",0,18.0428
"2014-07-08",0,17.313
"2014-07-09",0,18.2625
"2014-07-10",0,16.7977
"2014-07-11",0,14.0593
"2014-07-12",0,16.2165
"2014-07-13",0,17.5349
"2014-07-14",0,18.7653
"2014-07-15",0,17.1723
"2014-07-16",0,14.7568
"2014-07-17",0,15.4078
"2014-07-18",0,16.9052
"2014-07-19",0,16.6594
"2014-07-20",0,16.506
"2014-07-21",0,16.0843
"2014-07-22",0,16.9886
"2014-07-23",0,19.5097
"2014-07-24",0,16.4727
"2014-07-25",0,15.6462
"2014-07-26",0,16.2803
"2014-07-27",0,18.3535
"2014-07-28",0,17.067
"2014-07-29",22.5177,11.2787
"2014-07-30",3.2844,10.4761
"2014-07-31",0,12.6682
"2014-08-01",0,15.7081
"2014-08-02",0,16.7071
"2014-08-03",0,16.8554
"2014-08-04",8.3491,14.4856
"2014-08-05",12.6234,12.9046
"2014-08-06",0.1929,12.7725
"2014-08-07",1.6218,12.7284
"2014-08-08",3.0934,12.6761
"2014-08-09",0.0947,13.1985
"2014-08-10",0,14.9771
"2014-08-11",0,17.0431
"2014-08-12",4.7531,15.2543
"2014-08-13",9.7604,13.4389
"2014-08-14",0.1673,14.506
"2014-08-15",0.6071,15.2486
"2014-08-16",0,15.0029
"2014-08-17",0.1062,16.1149
"2014-08-18",0.0404,16.7063
"2014-08-19",0.1822,12.4222
"2014-08-20",14.7189,12.5783
"2014-08-21",8.7476,11.3908
"2014-08-22",26.2803,8.5757
"2014-08-23",5.4631,6.6266
"2014-08-24",0.8,9.0204
"2014-08-25",7.8923,9.5213
"2014-08-26",2.588,11.3465
"2014-08-27",0.4216,10.8825
"2014-08-28",0,12.5503
"2014-08-29",0,13.9721
"2014-08-30",0.668,12.122
"2014-08-31",6.1431,8.4704
"2014-09-01",0,9.5565
"2014-09-02",0,12.026
"2014-09-03",0,12.0054
"2014-09-04",0.618,8.6651
"2014-09-05",0,11.2981
"2014-09-06",0,13.2311
"2014-09-07",0.0242,14.1838
"2014-09-08",1.4856,13.3858
"2014-09-09",2.4479,10.6651
"2014-09-10",0.1789,9.0313
"2014-09-11",0.0696,4.7826
"2014-09-12",0.5649,5.1125
"2014-09-13",0,11.2243
"2014-09-14",0,13.8139
"2014-09-15",0,14.9256
"2014-09-16",0,15.6724
"2014-09-17",0,16.9768
"2014-09-18",3.9752,15.1625
"2014-09-19",1.5663,12.5118
"2014-09-20",0,13.4579
"2014-09-21",1.7255,9.3184
"2014-09-22",0.7116,10.4376
"2014-09-23",0,11.8808
"2014-09-24",0,14.8547
"2014-09-25",0,15.7834
"2014-09-26",0.42,14.6886
"2014-09-27",49.9567,7.5831
"2014-09-28",20.2453,5.5983
"2014-09-29",4.4235,5.5941
"2014-09-30",21.0563,2.3061
"2014-10-01",1.6993,0.8747
"2014-10-02",0.54,2.3822
"2014-10-03",0,4.98
"2014-10-04",0.736,6.5682
"2014-10-05",0.0869,7.7559
"2014-10-06",0.0414,9.1267
"2014-10-07",0,9.787
"2014-10-08",0,9.8674
"2014-10-09",0,9.4887
"2014-10-10",0.0593,8.5891
"2014-10-11",4.7419,5.8316
"2014-10-12",3.9857,1.4634
"2014-10-13",0,2.7296
"2014-10-14",0.2053,7.845
"2014-10-15",0,7.2824
"2014-10-16",0,4.4826
"2014-10-17",0,7.586
"2014-10-18",0,8.7535
"2014-10-19",0,8.6663
"2014-10-20",0,9.8582
