,"(mm) Precipitation (gridMET),  ,2014-01-01 to 2024-11-25","(deg C) Mean Temperature (gridMET),  ,2014-01-01 to 2024-11-25"
"2014-01-01",0,-4.5676
"2014-01-02",0.0265,-3.5508
"2014-01-03",0.1697,-3.2976
"2014-01-04",0.1929,-9.1943
"2014-01-05",0,-12.3087
"2014-01-06",0,-8.8956
"2014-01-07",1.5374,-5.3442
"2014-01-08",4.5952,-4.4161
"2014-01-09",12.7324,-5.7784
"2014-01-10",9.0736,-4.6053
"2014-01-11",11.4443,-0.1741
"2014-01-12",17.1354,-5.272
"2014-01-13",7.9359,-3.6944
"2014-01-14",0,-3.769
"2014-01-15",0,-3.6994
"2014-01-16",0,-3.4489
"2014-01-17",0,-2.7875
"2014-01-18",0,-1.8704
"2014-01-19",0,-1.6476
"2014-01-20",0,-1.2048
"2014-01-21",0.0802,-2.0636
"2014-01-22",0.0642,-3.1079
"2014-01-23",0,-5.9801
"2014-01-24",0,-3.7691
"2014-01-25",0,-1.6375
"2014-01-26",0,-3.2817
"2014-01-27",0,-6.0151
"2014-01-28",0,-8.0414
"2014-01-29",31.0651,-1.7368
"2014-01-30",4.9227,-5.2841
"2014-01-31",0,-7.5595
"2014-02-01",0.6638,-9.1253
"2014-02-02",0,-8.6819
"2014-02-03",3.7209,-8.6295
"2014-02-04",0.0008,-12.3041
"2014-02-05",6.1349,-12.5449
"2014-02-06",10.0483,-9.0685
"2014-02-07",29.9932,-4.6014
"2014-02-08",44.3985,-1.2973
"2014-02-09",6.6964,-1.5196
"2014-02-10",4.9495,-2.7974
"2014-02-11",2.4049,-3.2593
"2014-02-12",12.7593,-1.0611
"2014-02-13",17.2214,0.6503
"2014-02-14",21.3501,0.3699
"2014-02-15",0.143,4.1932
"2014-02-16",9.4473,-1.646
"2014-02-17",0,-1.4159
"2014-02-18",0.1508,-1.0167
"2014-02-19",4.2702,-3.9702
"2014-02-20",0.3973,-7.0578
"2014-02-21",2.1236,-2.841
"2014-02-22",16.4285,-3.3301
"2014-02-23",0.0179,0.6642
"2014-02-24",0,2.5438
"2014-02-25",0,1.7986
"2014-02-26",0.0997,1.8492
"2014-02-27",15.2069,0.9937
"2014-02-28",11.8259,1.709
"2014-03-01",40.6484,-0.0348
"2014-03-02",5.0297,1.0389
