,Day,P,T,Site,Discharge_cms,Area,Month,Year
0,2018-06-18,0.0067,9.3245,AboveWoodCamp,4.860850488974062,402.836,6,2018
1,2018-06-19,0.1799,9.8528,AboveWoodCamp,4.687956430028799,402.836,6,2018
2,2018-06-20,0.0,11.3796,AboveWoodCamp,4.527820277249099,402.836,6,2018
3,2018-06-21,0.0,14.6775,AboveWoodCamp,4.296200685737297,402.836,6,2018
4,2018-06-22,0.0,12.2427,AboveWoodCamp,4.160555195373511,402.836,6,2018
5,2018-06-23,0.0,11.7651,AboveWoodCamp,4.069867771150265,402.836,6,2018
6,2018-06-24,0.0,10.8344,AboveWoodCamp,3.9848167731481943,402.836,6,2018
7,2018-06-25,0.0,14.093,AboveWoodCamp,3.8711000703187977,402.836,6,2018
8,2018-06-26,0.0,16.6373,AboveWoodCamp,3.7492793245182052,402.836,6,2018
9,2018-06-27,0.0,17.322,AboveWoodCamp,3.61017409996458,402.836,6,2018
10,2018-06-28,0.0,16.6213,AboveWoodCamp,3.540960504524838,402.836,6,2018
11,2018-06-29,0.0,10.5812,AboveWoodCamp,3.516455179497811,402.836,6,2018
12,2018-06-30,0.0,10.3047,AboveWoodCamp,3.495278022147552,402.836,6,2018
13,2018-07-01,0.0,12.4982,AboveWoodCamp,3.4276028061861528,402.836,7,2018
14,2018-07-02,0.0,14.833,AboveWoodCamp,3.355409207079026,402.836,7,2018
15,2018-07-03,0.0,12.4109,AboveWoodCamp,3.2859834261636784,402.836,7,2018
16,2018-07-04,0.0,15.3341,AboveWoodCamp,3.2936901042938445,402.836,7,2018
17,2018-07-05,0.0,18.2104,AboveWoodCamp,3.2235050383424877,402.836,7,2018
18,2018-07-06,0.0,20.391,AboveWoodCamp,3.167123984892727,402.836,7,2018
19,2018-07-07,0.0,20.2572,AboveWoodCamp,3.113966317133015,402.836,7,2018
20,2018-07-08,0.0,20.5452,AboveWoodCamp,3.075288485709228,402.836,7,2018
21,2018-07-09,0.0718,20.3618,AboveWoodCamp,3.007563699576915,402.836,7,2018
22,2018-07-10,0.0,20.006,AboveWoodCamp,2.990791951088146,402.836,7,2018
23,2018-07-11,0.0,18.9295,AboveWoodCamp,2.9599035921762042,402.836,7,2018
24,2018-07-12,0.0,18.0418,AboveWoodCamp,2.944614657611103,402.836,7,2018
25,2018-07-13,0.0,18.7119,AboveWoodCamp,2.9575469786816804,402.836,7,2018
26,2018-07-14,0.0,17.598,AboveWoodCamp,2.940987206793396,402.836,7,2018
27,2018-07-15,0.0,18.9704,AboveWoodCamp,2.9403983325227734,402.836,7,2018
28,2018-07-16,0.825,17.9969,AboveWoodCamp,2.8721267702043867,402.836,7,2018
29,2018-07-17,0.0,17.1774,AboveWoodCamp,2.878524883490815,402.836,7,2018
30,2018-07-18,0.0,18.2682,AboveWoodCamp,2.8506868091287427,402.836,7,2018
31,2018-07-19,0.0,19.4036,AboveWoodCamp,2.8110690987168816,402.836,7,2018
32,2018-07-20,0.0,20.3791,AboveWoodCamp,2.7817299498654737,402.836,7,2018
33,2018-07-21,0.0,20.372,AboveWoodCamp,2.7430011377592343,402.836,7,2018
34,2018-07-22,0.0789,16.233,AboveWoodCamp,2.7177249646226542,402.836,7,2018
35,2018-07-23,0.0,17.3652,AboveWoodCamp,2.7539872483568355,402.836,7,2018
36,2018-07-24,0.083,19.585,AboveWoodCamp,2.707605131886871,402.836,7,2018
37,2018-07-25,0.0,19.4377,AboveWoodCamp,2.633430922131844,402.836,7,2018
38,2018-07-26,0.0,18.552,AboveWoodCamp,2.629107021259568,402.836,7,2018
39,2018-07-27,0.0,18.4155,AboveWoodCamp,2.6049748813931215,402.836,7,2018
40,2018-07-28,0.2818,19.154,AboveWoodCamp,2.591613274344946,402.836,7,2018
41,2018-07-29,0.0,17.6453,AboveWoodCamp,2.5787243097577073,402.836,7,2018
42,2018-07-30,0.0,17.0489,AboveWoodCamp,2.5638161900623233,402.836,7,2018
43,2018-07-31,0.0,19.3494,AboveWoodCamp,2.538890506706369,402.836,7,2018
44,2018-08-01,0.0,20.064,AboveWoodCamp,2.48094647940673,402.836,8,2018
45,2018-08-02,1.3238,17.7125,AboveWoodCamp,2.4825340625427326,402.836,8,2018
46,2018-08-03,0.1315,16.4988,AboveWoodCamp,2.4951100830861885,402.836,8,2018
47,2018-08-04,0.0,15.2078,AboveWoodCamp,2.470738999271416,402.836,8,2018
48,2018-08-05,0.0,15.0653,AboveWoodCamp,2.465978208663678,402.836,8,2018
49,2018-08-06,0.0,14.9461,AboveWoodCamp,2.470665621219135,402.836,8,2018
50,2018-08-07,0.0,15.946,AboveWoodCamp,2.4359046149558643,402.836,8,2018
51,2018-08-08,0.0,17.8234,AboveWoodCamp,2.4175764343596597,402.836,8,2018
52,2018-08-09,0.0,19.3241,AboveWoodCamp,2.3937168989883912,402.836,8,2018
53,2018-08-10,0.0,20.5483,AboveWoodCamp,2.371890124977339,402.836,8,2018
54,2018-08-11,0.0,21.2662,AboveWoodCamp,2.345546305396257,402.836,8,2018
55,2018-08-12,0.0,20.5782,AboveWoodCamp,2.3370001584786273,402.836,8,2018
56,2018-08-13,0.0,19.4887,AboveWoodCamp,2.3438663007368743,402.836,8,2018
57,2018-08-14,0.0,17.9562,AboveWoodCamp,2.404987146497278,402.836,8,2018
58,2018-08-15,0.0,17.3374,AboveWoodCamp,2.416826209678793,402.836,8,2018
59,2018-08-16,0.0,18.0957,AboveWoodCamp,2.396824041935598,402.836,8,2018
60,2018-08-17,0.0,17.4549,AboveWoodCamp,2.3869484272859856,402.836,8,2018
61,2018-08-18,0.0708,13.8591,AboveWoodCamp,2.3622841741505387,402.836,8,2018
62,2018-08-19,0.0,14.5675,AboveWoodCamp,2.387014998246152,402.836,8,2018
63,2018-08-20,0.0,16.0583,AboveWoodCamp,2.3637149169710256,402.836,8,2018
64,2018-08-21,0.0,14.7581,AboveWoodCamp,2.3535360316081158,402.836,8,2018
65,2018-08-22,8.3846,11.8594,AboveWoodCamp,2.355988421767641,402.836,8,2018
66,2018-08-23,0.5149,12.5084,AboveWoodCamp,2.4212668721492854,402.836,8,2018
67,2018-08-24,0.0,14.9705,AboveWoodCamp,2.357797579275825,402.836,8,2018
68,2018-08-25,0.011,14.9225,AboveWoodCamp,2.339595878293747,402.836,8,2018
69,2018-08-26,0.0265,13.5609,AboveWoodCamp,2.320088270705197,402.836,8,2018
70,2018-08-27,0.0185,7.9757,AboveWoodCamp,2.3245136254246113,402.836,8,2018
71,2018-08-28,0.0,8.3633,AboveWoodCamp,2.3679478067625364,402.836,8,2018
72,2018-08-29,0.0,11.8366,AboveWoodCamp,2.3398543391326267,402.836,8,2018
73,2018-08-30,0.0,15.5251,AboveWoodCamp,2.288553039230614,402.836,8,2018
74,2018-08-31,0.0,14.3461,AboveWoodCamp,2.2573884532312825,402.836,8,2018
75,2018-09-01,0.0,13.2777,AboveWoodCamp,2.2704035445528197,402.836,9,2018
76,2018-09-02,0.124,13.946,AboveWoodCamp,2.2671108833614,402.836,9,2018
77,2018-09-03,0.0,15.1252,AboveWoodCamp,2.234902765327763,402.836,9,2018
78,2018-09-04,0.0,15.307,AboveWoodCamp,2.229294335381293,402.836,9,2018
79,2018-09-05,0.0,16.1329,AboveWoodCamp,2.2159723006525724,402.836,9,2018
80,2018-09-06,0.1594,16.2793,AboveWoodCamp,2.223527453382724,402.836,9,2018
81,2018-09-07,0.0,16.6762,AboveWoodCamp,2.21532378018831,402.836,9,2018
82,2018-09-08,0.0,16.2988,AboveWoodCamp,2.214835241535271,402.836,9,2018
83,2018-09-09,0.0,14.6416,AboveWoodCamp,2.1989751581729844,402.836,9,2018
84,2018-09-10,0.0,15.918,AboveWoodCamp,2.1793165829579033,402.836,9,2018
85,2018-09-11,0.0,14.6129,AboveWoodCamp,2.1641594098050545,402.836,9,2018
86,2018-09-12,0.0,12.9932,AboveWoodCamp,2.1586163860885903,402.836,9,2018
87,2018-09-13,0.0206,10.6719,AboveWoodCamp,2.162189043914809,402.836,9,2018
88,2018-09-14,0.0,13.1444,AboveWoodCamp,2.1723800743430908,402.836,9,2018
89,2018-09-15,0.0,15.659,AboveWoodCamp,2.145224917668706,402.836,9,2018
90,2018-09-16,0.0,13.955,AboveWoodCamp,2.136796594757578,402.836,9,2018
91,2018-09-17,0.0,13.9156,AboveWoodCamp,2.146735228951344,402.836,9,2018
92,2018-09-18,0.202,14.3191,AboveWoodCamp,2.129099066035715,402.836,9,2018
93,2018-09-19,0.0,12.7733,AboveWoodCamp,2.133701858669482,402.836,9,2018
94,2018-09-20,0.0,8.2235,AboveWoodCamp,2.156628732393819,402.836,9,2018
95,2018-09-21,0.0,10.4778,AboveWoodCamp,2.147975745156758,402.836,9,2018
96,2018-09-22,0.2237,14.0105,AboveWoodCamp,2.1284227355187464,402.836,9,2018
97,2018-09-23,0.0,11.3183,AboveWoodCamp,2.117783906340924,402.836,9,2018
98,2018-09-24,0.0923,5.9971,AboveWoodCamp,2.1470227851808557,402.836,9,2018
99,2018-09-25,0.0,6.0491,AboveWoodCamp,2.1635133337899277,402.836,9,2018
100,2018-09-26,0.2426,7.0136,AboveWoodCamp,2.163434203110756,402.836,9,2018
101,2018-09-27,0.0,10.6179,AboveWoodCamp,2.1556030955986047,402.836,9,2018
102,2018-09-28,0.0,12.9042,AboveWoodCamp,2.131489905698947,402.836,9,2018
103,2018-09-29,0.0,14.3781,AboveWoodCamp,2.131386134620947,402.836,9,2018
104,2018-09-30,0.0,10.1401,AboveWoodCamp,2.115272816067433,402.836,9,2018
105,2018-10-01,0.0275,10.1237,AboveWoodCamp,2.1624134450846886,402.836,10,2018
106,2018-10-02,10.0525,11.8635,AboveWoodCamp,2.1329493339467813,402.836,10,2018
107,2018-10-03,8.4047,10.1724,AboveWoodCamp,2.176149491777464,402.836,10,2018
108,2018-10-04,28.5207,4.9224,AboveWoodCamp,2.269912176772673,402.836,10,2018
