Day,P,T,Site
2014-01-01,0.0,-5.0641,AboveWoodCamp
2014-01-02,0.0364,-3.7481,AboveWoodCamp
2014-01-03,0.2337,-3.691,AboveWoodCamp
2014-01-04,0.2636,-9.6799,AboveWoodCamp
2014-01-05,0.0,-12.8392,AboveWoodCamp
2014-01-06,0.0,-9.213,AboveWoodCamp
2014-01-07,1.8698,-5.6954,AboveWoodCamp
2014-01-08,4.8803,-4.8587,AboveWoodCamp
2014-01-09,13.8342,-6.21,AboveWoodCamp
2014-01-10,10.6905,-5.1472,AboveWoodCamp
2014-01-11,13.3075,-0.6834,AboveWoodCamp
2014-01-12,18.3854,-5.8041,AboveWoodCamp
2014-01-13,8.8061,-4.1605,AboveWoodCamp
2014-01-14,0.0,-4.2264,AboveWoodCamp
2014-01-15,0.0,-4.0862,AboveWoodCamp
2014-01-16,0.0,-3.6751,AboveWoodCamp
2014-01-17,0.0,-2.9061,AboveWoodCamp
2014-01-18,0.0,-2.0214,AboveWoodCamp
2014-01-19,0.0,-1.8272,AboveWoodCamp
2014-01-20,0.0,-1.4258,AboveWoodCamp
2014-01-21,0.1104,-2.1802,AboveWoodCamp
2014-01-22,0.0073,-3.2677,AboveWoodCamp
2014-01-23,0.0,-6.4411,AboveWoodCamp
2014-01-24,0.0,-3.8632,AboveWoodCamp
2014-01-25,0.0,-1.6619,AboveWoodCamp
2014-01-26,0.0,-3.4217,AboveWoodCamp
2014-01-27,0.0,-6.5195,AboveWoodCamp
2014-01-28,0.0,-8.5113,AboveWoodCamp
2014-01-29,33.7688,-2.1589,AboveWoodCamp
2014-01-30,6.0588,-5.8807,AboveWoodCamp
2014-01-31,0.0,-8.0036,AboveWoodCamp
2014-02-01,0.6464,-9.6839,AboveWoodCamp
2014-02-02,0.0,-9.1829,AboveWoodCamp
2014-02-03,4.2038,-9.0964,AboveWoodCamp
2014-02-04,0.0,-12.8758,AboveWoodCamp
2014-02-05,6.5583,-13.095,AboveWoodCamp
2014-02-06,10.7131,-9.5209,AboveWoodCamp
2014-02-07,34.5396,-5.074,AboveWoodCamp
2014-02-08,48.3245,-1.8014,AboveWoodCamp
2014-02-09,6.9365,-2.082,AboveWoodCamp
2014-02-10,6.6779,-3.2367,AboveWoodCamp
